INDIVIDUAL,Lake,SITE,DATE ,COLLECTOR,# of rocks,rock 1,rock 2,rock 3,rock 4,rock 5,EXAMINED BY,DATE EXAMINED,Microscope,MAGNIFICATION,Order,Family,Genus ,SIZE (mm),Notes 
18,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
19,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
20,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
21,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
22,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
23,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
24,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
25,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
26,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
27,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
28,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
29,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,1,
